categoria_produto,status_pedido,valor_total,valor_medio,quantidade_pedidos,idade_media,percentual_valor
Alimentos,Cancelado,559555.42,990.363575221239,565,48.11504424778761,4.58
Alimentos,Concluído,576749.81,1035.4574685816876,557,49.75224416517056,4.72
Alimentos,Em Processamento,624781.89,1041.30315,600,48.126666666666665,5.12
Alimentos,Entregue,643139.83,1014.4161356466876,634,49.361198738170344,5.27
Eletrônicos,Cancelado,611146.25,1037.5997453310697,589,50.54838709677419,5.01
Eletrônicos,Concluído,596238.1,1019.2104273504273,585,48.26495726495727,4.88
Eletrônicos,Em Processamento,654287.32,1048.5373717948717,624,47.93589743589744,5.36
Eletrônicos,Entregue,618241.17,1051.4305612244898,588,49.59183673469388,5.06
Livros,Cancelado,576213.82,998.6374696707105,577,48.211438474870015,4.72
Livros,Concluído,581285.4,968.8090000000001,600,50.07333333333333,4.76
Livros,Em Processamento,638067.96,1009.6012025316455,632,49.88291139240506,5.23
Livros,Entregue,632733.67,1052.8014475873545,601,48.074875207986686,5.18
Móveis,Cancelado,612163.7,998.6357259380097,613,49.864600326264274,5.01
Móveis,Concluído,559158.99,960.7542783505154,582,49.49484536082474,4.58
Móveis,Em Processamento,623164.92,1005.1047096774195,620,48.14677419354839,5.1
Móveis,Entregue,624829.36,1034.4856953642384,604,50.24834437086093,5.12
Vestuário,Cancelado,614094.24,1008.3649261083743,609,50.801313628899834,5.03
Vestuário,Concluído,608894.1,1035.5341836734694,588,48.87244897959184,4.99
Vestuário,Em Processamento,647824.59,1018.5921226415094,636,48.93238993710692,5.31
Vestuário,Entregue,604879.77,1014.8989429530202,596,48.95469798657718,4.96
